time,ax,ay,az,atotal
0,-0.03,0.03,0,0.04
0.01,-0.03,0.03,-0.01,0.04
0.02,-0.03,0.03,-0.02,0.05
0.03,-0.02,0.03,-0.01,0.04
0.041,-0.03,0.02,-0.01,0.04
0.051,-0.04,0.03,-0.01,0.05
0.061,-0.03,0.03,0,0.04
0.071,-0.03,0.03,-0.01,0.04
0.081,-0.03,0.03,0,0.04
0.091,-0.03,0.03,-0.02,0.04
0.101,-0.04,0.03,-0.01,0.05
0.111,-0.03,0.03,-0.01,0.05
0.121,-0.03,0.03,0,0.04
0.131,-0.03,0.03,0,0.04
0.141,-0.03,0.03,-0.02,0.04
0.151,-0.03,0.03,-0.01,0.04
0.161,-0.03,0.03,-0.02,0.05
0.171,-0.03,0.04,-0.01,0.05
0.181,-0.03,0.03,0,0.04
0.19,-0.03,0.03,-0.01,0.04
0.2,-0.03,0.02,-0.01,0.04
0.21,-0.02,0.03,0,0.04
0.22,-0.04,0.04,0,0.05
0.23,-0.03,0.03,-0.01,0.04
0.24,-0.04,0.03,-0.01,0.05
0.25,-0.03,0.03,-0.01,0.04
0.26,-0.03,0.03,-0.01,0.05
0.27,-0.04,0.03,-0.01,0.05
0.28,-0.03,0.03,0,0.04
0.29,-0.04,0.03,-0.01,0.05
0.3,-0.03,0.03,0,0.04
0.31,-0.03,0.03,0,0.04
0.32,-0.03,0.03,0,0.04
0.33,-0.02,0.02,0,0.03
0.34,-0.02,0.03,0,0.04
0.35,-0.03,0.03,-0.01,0.05
0.36,-0.03,0.03,-0.01,0.04
0.37,-0.03,0.03,0,0.04
0.38,-0.03,0.03,-0.01,0.05
0.39,-0.02,0.03,-0.01,0.04
0.4,-0.02,0.03,0,0.04
0.41,-0.03,0.04,-0.01,0.05
0.42,-0.03,0.03,0,0.04
0.43,-0.03,0.02,0,0.04
0.439,-0.03,0.03,0,0.04
0.449,-0.03,0.03,0,0.04
0.459,-0.02,0.03,0,0.04
0.469,-0.03,0.02,0,0.04
0.479,-0.03,0.02,-0.01,0.03
0.489,-0.02,0.03,0,0.04
0.499,-0.03,0.03,-0.01,0.04
0.509,-0.02,0.03,-0.01,0.04
0.519,-0.03,0.03,-0.01,0.05
0.529,-0.03,0.04,0,0.05
0.539,-0.03,0.03,-0.01,0.05
0.549,-0.03,0.03,0,0.04
0.559,-0.03,0.03,-0.01,0.04
0.569,-0.03,0.03,-0.01,0.04
0.579,-0.04,0.03,-0.01,0.05
0.589,-0.03,0.03,0,0.04
0.599,-0.02,0.03,-0.01,0.03
0.609,-0.03,0.03,-0.02,0.05
0.619,-0.03,0.03,-0.01,0.04
0.629,-0.02,0.03,-0.01,0.04
0.639,-0.02,0.03,-0.01,0.03
0.649,-0.03,0.04,-0.02,0.05
0.659,-0.03,0.03,-0.03,0.05
0.668,-0.02,0.03,-0.01,0.04
0.679,-0.03,0.03,0,0.04
0.688,-0.03,0.02,0.02,0.04
0.698,-0.03,0.03,0.02,0.04
0.708,-0.03,0.03,0.01,0.05
0.718,-0.03,0.03,0.02,0.04
0.728,-0.03,0.03,0.01,0.04
0.738,-0.03,0.03,0.01,0.04
0.748,-0.03,0.03,0.02,0.05
0.758,-0.03,0.03,0.03,0.06
0.768,-0.03,0.03,0.02,0.05
0.778,-0.04,0.03,-0.01,0.05
0.788,-0.03,0.02,-0.03,0.04
0.798,-0.03,-0.01,-0.03,0.04
0.808,-0.02,-0.05,-0.01,0.05
0.818,-0.04,0.12,-0.03,0.13
0.828,-0.02,0.03,-0.05,0.06
0.838,-0.03,0.02,-0.04,0.05
0.848,-0.03,0.05,0,0.06
0.858,-0.03,0.02,0.01,0.03
0.868,-0.04,0.02,-0.02,0.05
0.878,-0.03,0.03,-0.02,0.05
0.888,-0.03,0.04,0,0.05
0.898,-0.02,0.03,0.01,0.04
0.908,-0.02,0.03,0.01,0.04
0.917,-0.03,0.02,-0.01,0.04
0.927,-0.03,0.03,-0.02,0.05
0.937,-0.02,0.02,-0.01,0.03
0.947,-0.03,0.02,0,0.04
0.957,-0.02,0.03,-0.01,0.04
0.967,-0.02,0.03,-0.02,0.04
0.977,-0.03,0.02,-0.01,0.04
0.987,-0.04,0.02,-0.01,0.04
